user_id,song_id,emo_id
2876,19,84
1941,145,82
2004,93,36
1320,20,16
1839,19,112
2622,161,125
3452,67,78
2950,55,91
1686,170,25
2239,168,15
2149,153,30
3052,89,0
1008,13,62
1612,12,5
1660,205,21
1935,159,26
3249,141,105
1890,55,26
663,15,9
3057,161,28
878,148,112
720,138,14
56,15,30
2193,33,30
12,106,25
1651,39,17
2458,77,22
2820,20,12
667,126,22
1113,41,10
2527,14,51
852,139,126
507,185,124
2161,187,15
556,43,21
2958,93,92
2104,33,26
2938,54,24
2148,151,10
809,27,55
257,43,12
1042,31,97
2410,43,43
267,179,22
104,74,47
3438,155,82
118,12,67
2095,108,93
335,73,21
2784,73,118
3358,130,20
1362,12,48
818,108,24
2552,131,41
1055,10,81
1022,90,62
2598,13,125
2570,188,30
2457,0,15
952,50,13
2472,106,82
1531,151,62
3268,7,116
1131,57,121
61,85,100
347,169,119
1437,131,118
2393,43,30
882,120,8
395,10,116
1760,129,70
754,42,64
377,106,48
1514,28,66
2660,44,1
1071,85,114
808,17,48
2928,15,14
1568,159,125
3056,108,38
2616,20,119
2025,27,82
2625,27,62
1928,120,12
912,178,2
2936,44,18
2585,21,131
692,211,55
1309,25,22
67,18,95
1253,149,91
3197,71,54
2748,93,118
1735,204,0
276,13,4
1363,2,82
662,21,68
2566,93,82
14,61,37
978,164,70
1541,49,35
1499,91,62
2232,135,50
45,79,2
1468,185,4
537,91,93
1186,164,84
1590,17,2
2101,111,25
3077,77,84
3062,200,120
2641,98,81
433,214,116
2202,168,16
2902,209,3
1016,24,12
246,207,18
2007,190,17
1944,190,83
244,89,21
1170,113,20
186,20,1
350,128,85
2856,12,19
274,149,100
3437,41,41
2175,53,12
804,129,99
2569,129,99
1578,200,6
2481,200,2
2085,28,99
2285,25,54
2891,155,100
958,59,99
429,127,80
909,99,94
3186,44,13
3414,108,56
2867,42,12
3071,4,5
3074,87,82
2419,125,119
2451,169,24
2187,107,34
3407,123,20
2614,129,25
2543,86,67
585,83,81
568,93,30
2575,47,126
2366,152,68
98,177,43
2934,131,6
794,96,18
2937,31,21
1301,169,9
2831,21,62
535,79,21
151,43,68
558,44,99
1632,10,16
2720,200,99
1760,58,17
3399,214,15
1409,12,118
81,59,10
1408,77,12
2391,31,116
2248,114,1
1998,45,23
2259,21,126
1652,113,6
