user_id,song_id,emo_id
1941,145,82
1686,170,25
2149,153,30
3249,141,105
1113,41,10
507,185,124
2938,54,24
3438,155,82
335,73,21
2570,188,30
882,120,8
1760,129,70
808,17,48
1568,159,125
3056,108,38
1253,149,91
1363,2,82
1186,164,84
2101,111,25
2481,200,2
958,59,99
429,127,80
909,99,94
2867,42,12
3071,4,5
3074,87,82
2451,169,24
2831,21,62
558,44,99
1760,58,17
81,59,10
2259,21,126
1652,113,6
774,9,21
3004,188,62
2481,155,62
1919,57,17
2647,137,22
1285,129,30
867,154,84
209,143,16
1650,200,129
517,143,20
2630,120,125
1196,178,48
3053,138,119
3071,179,51
558,51,24
874,24,82
2885,13,70
2432,129,3
2197,85,126
81,60,30
193,165,10
517,120,83
1394,82,12
1199,99,22
2885,57,99
2073,126,62
3189,215,22
2041,44,71
333,196,82
623,20,18
1977,13,70
1787,38,8
643,188,2
3402,4,102
259,57,22
2531,141,49
1591,123,12
1591,204,10
3125,19,5
528,37,81
295,182,100
152,196,21
939,150,99
2668,180,8
417,213,130
3297,86,39
792,50,120
3201,36,15
780,35,126
882,35,81
2255,101,18
968,36,22
2089,60,98
629,112,17
528,161,59
3248,27,35
2402,109,24
2894,133,22
1912,44,84
334,62,79
2647,4,62
3064,38,21
930,151,81
1186,178,84
429,29,27
2602,166,53
436,127,126
3093,184,11
3330,13,126
2652,130,126
2900,99,21
3102,119,15
1629,200,48
2305,88,126
623,33,15
1237,200,30
2029,111,48
1394,125,54
1223,38,35
1261,124,126
295,174,75
425,134,57
2021,178,7
264,100,126
364,58,38
2466,44,25
706,145,11
2510,200,68
2063,114,82
3381,92,23
543,150,24
2668,181,94
1507,210,8
802,174,14
387,64,30
3431,174,41
925,4,68
1845,38,82
259,178,108
2710,200,21
1223,29,92
1618,35,32
507,212,78
643,176,25
437,73,56
2309,83,109
1084,125,98
2916,174,48
2383,133,126
3261,35,112
68,133,6
1348,45,13
3424,208,27
630,87,10
2093,168,71
1855,58,71
3083,59,70
3285,204,2
949,65,22
691,164,13
636,62,11
903,44,11
1636,207,118
3187,39,11
2946,103,7
2916,108,62
1102,204,44
1104,10,4
435,107,116
1285,63,38
1519,167,91
1550,51,39
436,13,51
2555,82,27
678,92,34
1659,210,31
1804,154,15
3187,114,12
2602,159,20
2565,37,10
874,31,51
2503,166,129
2739,44,8
2739,17,13
2565,6,96
939,19,30
2780,17,5
2259,156,22
2074,196,120
3249,119,54
1804,38,35
926,138,57
2804,57,124
3053,178,56
3431,29,30
2591,210,15
3381,129,3
2259,38,75
2722,127,18
3440,6,62
2999,82,14
1912,109,34
2637,28,10
1223,172,126
1591,38,12
144,96,52
1687,62,112
2551,32,71
3440,146,18
3180,64,62
3055,47,14
1199,99,4
436,57,18
99,38,82
1198,29,21
1793,108,11
1503,77,2
1672,155,128
2264,39,126
1048,101,112
1825,126,10
1445,168,100
485,151,62
2276,47,10
668,129,40
136,36,16
2630,50,124
3460,63,25
606,85,93
331,57,126
3354,200,27
558,127,22
2584,4,17
528,88,10
2474,13,109
3021,172,84
718,0,31
651,197,78
2980,133,2
3212,74,39
2555,73,2
2997,152,94
1550,68,130
1575,13,31
1981,210,11
2859,46,126
335,201,2
2663,163,42
312,178,52
1086,67,126
2451,174,16
1706,176,20
418,9,118
3438,38,1
2732,44,13
2302,8,13
546,127,5
209,58,117
1593,137,67
2347,118,67
1666,161,108
2305,123,78
2347,38,5
315,64,57
780,38,43
1959,83,99
1658,37,94
2982,179,12
27,99,30
268,174,116
3153,96,18
3231,194,57
388,179,62
3411,88,62
2480,162,20
36,85,16
543,152,59
2059,93,12
2363,84,126
968,39,12
803,9,10
2503,50,14
3431,120,59
2975,168,62
1198,13,57
3344,65,78
3064,19,2
3180,19,120
874,13,0
2032,120,62
2503,127,100
3138,122,126
2804,44,70
2570,106,67
1686,170,30
3189,2,17
2807,153,113
252,152,97
2302,8,16
435,13,125
3127,57,16
2401,159,59
2739,31,26
3271,87,99
2924,108,20
867,25,126
1723,140,95
2964,182,16
213,73,5
1188,203,17
2749,118,30
2352,73,108
2584,67,5
497,57,13
1959,63,81
1120,151,16
2059,27,3
2900,154,2
2749,201,23
1394,27,38
1402,25,23
3297,127,125
2150,201,75
2176,40,84
3402,174,82
871,119,17
2480,152,30
2214,24,23
2092,25,17
3238,65,51
2451,19,62
3297,200,123
2150,6,102
2853,193,24
3394,60,8
2183,137,19
1413,31,102
1126,156,15
691,178,94
613,106,81
1745,2,64
3201,69,15
2402,88,36
2588,180,8
2480,200,90
3440,188,116
3102,178,15
2739,214,100
685,31,30
949,178,113
335,200,126
2481,124,48
1102,208,18
355,1,48
437,50,1
3249,144,48
1706,68,1
2827,114,116
2710,200,70
3251,127,126
1760,13,71
1120,207,22
857,137,1
2940,38,63
3404,179,62
2076,200,125
1274,125,21
2783,124,124
1014,178,17
2570,146,13
1015,155,126
2466,129,2
2513,85,10
3261,194,22
923,180,26
2439,17,126
2881,198,12
2647,62,123
1694,128,39
1672,38,12
2519,182,101
2588,45,20
2183,2,62
1297,216,16
1526,149,119
19,121,40
2881,28,99
1723,77,22
2787,57,4
1636,137,51
1924,188,34
2716,4,21
99,202,57
3393,88,18
3394,145,99
312,127,54
558,9,31
2258,178,118
1608,128,72
1014,71,92
2652,76,43
829,145,4
331,108,2
874,93,18
1067,83,62
2637,86,62
517,90,16
2113,149,51
3381,153,38
2522,38,77
2101,67,75
1659,215,86
2510,3,68
1706,99,1
406,119,20
435,126,39
2749,201,12
1507,120,67
1445,172,22
1095,88,20
2785,24,120
802,99,2
716,60,117
3404,109,20
2089,138,126
707,144,58
1329,27,105
417,178,16
2481,54,40
2551,184,20
2831,13,81
1207,216,80
418,38,49
2911,173,22
1315,28,59
684,96,23
331,168,15
424,139,10
425,199,57
