user_id,song_id,emo_id
0,9,15
0,10,12
0,11,22
0,12,41
0,13,118
1,14,12
1,15,16
1,15,43
1,16,38
1,17,48
1,18,57
1,19,81
1,20,126
2,2,19
2,28,34
2,29,51
2,30,98
2,31,127
3,32,8
3,33,10
3,33,116
3,33,126
3,34,41
3,34,127
4,39,13
4,40,13
4,41,16
4,42,39
4,43,49
4,44,126
5,9,41
5,20,112
5,45,12
5,45,94
5,46,12
5,47,51
6,20,11
6,21,42
6,48,118
6,52,24
6,53,110
7,8,24
7,15,18
7,15,116
7,61,20
7,62,27
7,63,100
8,4,22
8,38,2
8,72,5
8,73,22
8,74,68
9,19,17
9,20,120
9,61,14
9,78,5
9,79,12
10,30,18
10,37,28
10,76,105
10,83,2
10,84,15
11,7,30
11,30,22
11,37,99
11,84,62
11,84,120
11,95,94
11,96,94
12,53,9
12,53,62
12,57,16
12,57,25
12,57,108
12,57,112
12,77,25
12,105,12
12,106,25
12,107,62
13,79,25
13,101,3
13,106,112
13,116,36
13,117,49
13,118,116
14,15,16
14,20,39
14,61,37
14,80,120
14,105,62
14,119,21
15,30,53
15,30,84
15,85,49
15,120,112
15,120,118
15,120,123
16,13,16
16,14,15
16,14,120
16,20,9
16,91,10
17,13,67
17,57,110
17,57,120
17,77,99
17,148,91
18,13,39
18,15,24
18,24,48
18,62,2
18,73,120
19,81,39
19,121,40
19,121,65
19,121,108
19,121,126
20,65,0
20,123,126
20,152,16
20,152,22
20,152,109
20,152,116
21,44,126
21,49,5
21,85,96
21,107,120
21,128,48
22,13,12
22,31,81
22,106,112
22,127,20
22,159,5
22,159,62
23,13,34
23,14,45
23,15,125
23,132,125
23,162,3
23,163,12
24,14,31
24,19,81
24,27,112
24,28,49
24,83,39
24,131,48
24,134,126
24,164,81
25,29,12
25,72,9
25,72,131
25,108,56
25,169,54
26,25,0
26,37,118
26,41,2
26,41,18
26,64,117
26,86,67
26,170,108
26,171,116
27,4,29
27,79,25
27,93,65
27,99,30
27,151,34
28,9,84
28,13,27
28,53,22
28,100,27
28,127,124
29,16,67
29,25,109
29,84,3
29,115,22
29,168,34
30,13,127
30,24,16
30,121,21
30,149,39
30,175,20
31,12,12
31,57,21
31,85,53
31,120,16
31,164,21
31,166,11
31,177,41
32,1,82
32,4,48
32,87,1
32,114,117
32,122,3
32,149,21
32,149,58
33,47,110
33,95,21
33,131,18
33,132,27
33,173,94
33,173,126
33,178,25
34,20,18
34,74,45
34,96,118
34,123,14
34,172,12
35,30,2
35,89,10
35,100,31
35,105,30
35,135,96
35,157,60
36,13,20
36,85,16
36,85,36
36,85,119
36,125,40
36,173,9
37,38,125
37,40,70
