user_id,song_id,emo_id
3914,1509,59
6890,685,94
11419,4935,27
986,42,19
10534,1034,118
3740,3342,2
11822,285,51
12188,1198,8
3213,3084,13
11693,666,126
3841,3842,116
7687,463,10
2876,4082,1
5250,66,25
5875,945,63
7910,891,120
4700,2194,22
1674,738,21
7309,809,62
6433,1686,25
8599,135,20
10085,283,76
5475,1988,63
3354,4689,114
8925,1439,15
907,787,116
9695,1972,81
765,422,53
10695,963,50
2696,731,8
1804,2462,54
6265,59,70
8277,1981,56
10408,144,129
9988,622,5
5778,2525,2
4544,3037,54
12076,1001,39
11899,699,126
5133,904,99
11928,1042,54
8684,313,101
2950,1335,49
9282,317,49
3569,3717,62
12395,473,100
10499,2280,74
1292,671,115
7232,1972,112
10839,697,112
1115,78,58
1901,2798,120
5732,694,4
12391,230,10
1764,1410,120
11603,4446,30
115,718,94
511,2277,78
12128,2672,67
8131,4887,126
11981,502,39
5057,1161,11
1380,1853,120
7125,2883,13
4127,3323,119
5007,2242,62
6998,1035,126
10750,30,99
289,1555,118
6512,704,18
494,1587,129
10145,2410,9
4756,2567,41
5026,3633,108
6495,233,30
10999,4370,80
4290,1020,99
2432,39,49
1582,4004,1
8803,407,2
5481,413,62
6960,1998,62
5984,982,4
398,1194,64
7463,1129,120
11327,491,112
1210,3155,123
6034,4483,5
8314,251,94
12406,677,18
2243,4518,9
8912,1916,51
1489,3009,12
2740,2231,8
11080,671,126
8940,588,34
8646,984,13
3751,318,30
11179,1671,15
4907,5064,11
6764,473,50
10058,1822,12
623,110,34
9625,400,10
7331,2885,65
1306,56,41
2495,1681,16
5912,2529,62
5396,443,14
10388,78,49
1791,2218,112
10553,2199,11
11426,379,5
1428,1857,67
7483,1771,62
3536,220,5
6162,572,21
7974,6012,51
275,704,118
6513,2882,118
8958,1313,22
762,1052,16
7947,55,75
8323,3145,125
5677,527,2
11882,2045,30
5766,1882,18
2610,5019,125
6085,937,67
4439,2168,20
364,1430,99
9998,231,80
1005,322,18
7182,704,125
8784,58,21
2748,229,22
11513,78,74
2442,4874,115
8560,160,24
9132,1845,99
10701,1207,62
7730,4820,8
8748,1451,13
2356,2880,100
7869,46,0
9395,148,126
1661,1703,33
6811,3845,112
255,1081,91
10838,1607,10
12070,2099,4
1608,152,62
12153,5948,68
1832,2610,38
2122,167,34
4756,1097,12
2979,143,90
10345,2437,5
897,2247,0
637,655,70
4530,779,50
10169,3056,48
11464,1018,99
12457,5238,12
5376,1908,12
7494,3269,13
5968,3222,22
4093,4380,1
9853,4043,4
6330,3065,75
10743,426,118
7539,1334,68
12310,1099,83
6708,992,10
6283,38,126
1752,683,126
10428,2996,32
1312,909,18
5375,15,12
11888,2230,5
10915,356,92
11389,4735,64
194,1161,93
1476,313,25
12400,3301,119
10070,1924,44
7632,3091,57
9852,2324,70
10310,16,12
11943,1864,38
11829,5186,84
601,2348,38
7296,146,26
5239,3458,13
5253,1706,126
11808,4975,23
333,1271,16
11963,6094,5
4901,50,22
9642,4727,118
1068,2721,30
4421,692,50
3300,1735,0
5317,2080,98
547,2374,49
12059,684,87
47,358,18
4275,1000,12
1177,886,75
760,355,70
9059,3715,20
6864,1565,126
12177,1197,59
5286,1044,62
423,1418,96
7348,160,60
3232,5335,92
12406,450,26
2640,4215,10
3946,1802,116
12469,5294,116
11978,38,127
4092,3572,17
12220,1080,82
11133,802,130
6112,225,5
6048,2168,12
8294,1967,126
4613,282,56
3703,1322,118
9535,886,10
1581,1046,8
12489,2867,11
6464,1293,49
5003,2932,48
11258,1597,14
6973,1647,49
1563,449,57
11272,173,22
7471,933,112
6692,2736,52
5502,605,111
5707,322,34
622,2547,26
4562,106,10
7185,448,27
1719,719,67
2856,8,7
6524,865,100
12236,2897,112
7754,2844,10
11101,860,25
204,1207,83
9195,56,48
7554,245,13
22,176,4
323,507,118
6312,1606,126
8973,1042,94
8901,1504,30
390,809,40
106,740,0
8581,3136,100
111,372,94
1132,232,115
6994,1152,16
6553,3126,116
5101,234,0
7491,108,15
11758,4404,20
1434,10,15
11574,4186,53
12147,2844,81
10252,418,99
5436,4747,15
12108,1078,50
11186,3109,40
1860,1261,97
1380,3613,46
11097,2897,89
9788,3875,15
3934,846,2
12435,886,112
8395,3320,8
6153,2456,51
582,25,45
7919,1447,116
7191,1841,13
7755,3185,53
8537,51,126
271,309,112
11609,5894,14
9835,2168,23
4220,268,20
7755,937,9
3255,180,2
1752,128,55
7465,152,126
8797,57,10
2017,78,126
11134,1603,16
1548,2716,98
7848,1924,79
9283,2382,95
6321,1078,68
6845,1049,62
8882,125,82
8673,231,10
8634,5760,21
5590,3717,56
3196,4472,48
10539,196,5
3738,3311,62
3974,2250,94
566,2381,83
11541,97,15
8354,817,21
5916,473,91
3730,1866,28
9476,2581,14
2119,329,22
1460,1016,35
11200,521,29
2971,196,2
1897,1933,14
9626,1686,23
7699,711,76
7528,1756,62
349,925,48
646,1142,16
6534,238,92
6621,1242,78
4181,1357,7
1628,1430,102
868,1168,38
12157,5929,2
136,908,29
8331,180,110
12095,963,70
9289,306,24
6639,1049,7
3632,1448,84
927,1082,48
11861,3508,129
8459,1912,37
3788,180,37
9414,1711,23
1447,898,32
4009,4561,84
8199,704,17
6934,15,10
1307,3774,10
10280,644,25
8298,4334,93
6681,2012,116
3753,110,34
11774,1659,105
11921,2385,62
6279,2334,15
5836,286,39
6315,3247,62
6847,5999,78
6229,1769,18
5782,58,105
246,1395,5
6426,134,118
2697,1320,113
9902,4810,29
5482,56,12
6585,2073,54
5660,1635,54
898,557,130
7433,1677,110
10762,1916,21
5896,3833,11
4261,4,16
11410,42,110
9258,641,118
6388,3020,3
9194,780,118
6869,2754,124
4562,418,124
9528,593,15
5019,4,18
10153,1492,21
6534,5818,56
7338,3885,39
10364,4748,108
5533,1635,15
6369,2892,22
9545,2585,64
2126,59,26
4674,3115,4
10622,785,9
8229,2353,4
6339,5335,81
3382,5389,43
134,902,30
6735,1429,12
11422,906,62
685,1061,11
10418,106,126
4801,3115,5
4497,1430,56
9031,3015,18
4410,4072,83
12233,1264,48
2391,117,81
7052,51,108
6011,2005,15
8973,2434,15
11565,4631,126
929,827,88
4274,431,126
9091,1265,99
5517,4994,21
4500,4421,15
10373,5445,14
5212,724,26
11948,669,70
8438,5269,2
1283,702,2
490,2067,31
11837,60,2
8896,1241,27
8259,1259,30
5370,4680,99
10426,97,18
7950,491,34
11278,277,131
10487,6015,48
10459,59,53
3364,3640,27
8356,1972,93
7838,2359,39
7483,108,62
4026,3261,95
5466,2447,112
9959,3012,4
4215,151,94
9528,1632,91
9038,144,27
10808,211,38
11065,241,12
1224,5,15
8226,2191,16
12168,992,55
10907,431,96
6650,5459,90
3658,4169,17
4567,3665,12
11158,2146,25
10862,1025,100
9040,8,13
6330,1703,2
10809,647,115
3794,5041,12
2453,1635,91
4276,1536,49
4546,2125,110
7467,942,9
9616,2885,119
10159,52,20
1120,559,35
1319,1549,81
10386,1083,20
10515,1118,80
10150,2149,10
796,533,131
9062,1336,50
3085,651,62
5211,3521,13
10917,771,81
8117,2123,48
12025,224,4
7455,2655,52
9321,164,108
582,1621,109
4590,1996,57
5157,2087,18
6317,1078,20
3284,1111,38
12144,511,37
9956,3848,85
7293,634,126
1195,999,2
5789,690,18
2429,4420,17
6065,1681,12
717,628,15
4793,368,125
2322,42,25
4936,96,17
2457,1256,91
2094,4616,23
1778,1344,3
3159,1538,75
11226,1965,17
11862,113,126
6513,238,21
10044,944,0
3105,440,17
4558,1374,10
12249,2442,43
6535,1185,70
9570,897,16
6046,2798,20
1391,865,8
1934,36,117
7117,699,4
7762,2336,30
8415,28,112
3612,2745,13
6939,339,27
1206,1207,48
1064,70,118
4978,3285,108
3339,298,20
4300,4020,94
7169,3572,55
8174,680,106
2087,193,1
8927,56,48
9474,2681,101
4808,983,48
2435,3160,92
6163,292,17
9935,3443,108
5463,1118,2
4373,1548,22
2159,1249,126
6390,1915,0
6649,1502,44
5455,332,22
3599,510,82
4514,3456,28
2573,3482,2
8488,414,83
11551,5322,112
9476,511,126
3103,2456,81
744,2832,52
10032,500,108
2353,1736,114
9218,4609,71
4847,613,99
236,1314,48
9717,1430,118
9794,719,30
9458,742,62
1006,2755,19
6803,1070,74
8217,2612,14
5118,1635,84
4790,1401,2
10402,2844,67
9184,5592,26
2102,1389,69
11328,3407,20
9734,2456,10
3595,1020,48
7216,5090,9
10157,4110,12
7643,639,62
6064,1691,16
4703,1285,25
2732,884,2
5620,1888,130
6514,895,34
4582,2134,94
10541,2897,126
5050,732,62
4304,3053,41
5548,3387,30
10533,3630,78
161,1026,130
10498,865,110
10051,968,39
10750,3857,48
6827,72,59
14,117,50
5089,1719,12
11825,28,18
8170,143,39
9908,576,78
7556,59,2
5751,2347,116
4640,5669,25
8184,3998,126
548,2375,92
7404,588,0
5580,226,27
3345,151,99
11914,3773,93
10017,447,82
