user_id,song_id,emo_id
7494,3269,13
601,2348,38
1177,886,75
5707,322,34
12236,2897,112
6153,2456,51
11541,97,15
6388,3020,3
4410,4072,83
4022,28,50
4108,2168,27
7993,1203,10
7245,3494,49
8,73,59
8621,4918,70
347,1759,22
8621,605,26
369,1509,82
8440,1370,10
3618,491,30
12236,5325,10
225,610,30
7245,868,13
2228,4186,8
8,70,17
9376,3816,22
8440,1634,116
7619,4734,62
203,1204,126
2072,3829,44
6359,407,15
11022,1798,51
7619,164,21
4022,2651,127
6967,913,18
4662,980,82
11562,1660,27
4410,4062,64
6153,1553,15
11432,60,5
247,46,126
5084,2307,34
8844,1315,30
5877,95,64
203,1202,23
7199,448,10
2072,4565,59
8621,3598,114
5084,4978,22
11741,1143,17
7320,1256,20
2072,510,75
5564,1859,115
4410,4062,56
369,1834,82
5306,651,24
8448,1072,112
5707,1553,27
8893,2357,20
2406,861,41
5097,4335,39
7494,1038,23
6388,146,10
225,932,118
5877,707,64
532,500,18
10532,339,118
1925,95,90
11022,89,81
3572,491,32
8621,86,12
225,98,57
6457,1857,131
7199,60,2
3092,2842,121
5097,1770,2
6977,1386,1
1161,559,117
532,1802,62
8392,160,60
369,132,116
253,95,116
5306,420,112
10730,4062,126
11562,2694,15
2809,2020,48
7619,128,24
8891,1062,35
1194,1274,11
8392,744,18
4260,4965,84
253,1421,64
11741,685,57
4209,38,17
9064,704,16
9154,6082,48
9576,1269,73
347,1755,0
4662,4074,20
8844,426,26
6329,2379,47
9064,999,52
369,1835,83
11910,2149,123
11432,4881,49
5377,1689,0
7199,95,49
6388,1448,43
11547,1477,95
4108,2163,94
11729,4439,48
257,1437,112
5707,389,112
10730,576,25
4713,4784,22
7199,372,18
9576,4483,12
10829,1352,93
7088,588,16
3690,84,114
7897,1726,129
7494,1189,13
1560,3090,113
9294,2241,90
10304,1900,4
3442,512,99
6388,1088,9
6977,419,15
4209,1140,17
5564,2774,54
2797,1107,15
1226,3663,95
1161,3580,99
3690,3064,48
2440,4872,126
9231,4530,4
369,1080,78
1479,1022,54
4410,2231,118
5707,911,12
9231,4530,40
1177,683,90
10036,60,70
10381,1213,110
4637,861,48
775,1388,63
9423,3202,29
10304,79,62
3690,232,43
1855,125,126
6444,992,82
507,2264,12
9294,2224,2
8448,4841,125
4066,43,99
3572,500,12
6967,491,30
10615,2690,21
4662,5368,83
2821,1509,2
10582,1034,39
11248,570,114
959,2149,43
4066,5616,94
11248,925,82
4066,431,62
1194,3616,4
10304,1386,20
3442,97,99
2072,1965,41
247,152,4
2793,95,27
9231,1903,78
6153,39,24
8203,1191,39
10060,2660,62
11743,3323,55
8,69,8
3572,443,50
347,1758,19
6977,4808,20
11743,1873,53
7258,2484,30
6457,1857,13
8893,3683,40
1226,3660,5
5476,198,121
11541,3173,65
5306,812,10
1925,2578,62
958,3201,126
1177,2510,93
10532,699,99
959,234,25
8610,1422,112
5476,5769,15
6771,4465,120
11562,908,77
9231,913,36
6854,2487,120
3928,1061,82
11432,2216,99
9064,407,118
768,2880,23
8899,444,125
958,3200,118
11583,1299,2
5564,1046,81
253,95,30
10615,4062,25
8899,2247,62
768,2804,48
7199,307,78
1354,3845,34
4022,3214,86
1226,3662,62
8392,108,81
4410,4072,48
9423,155,75
11741,683,128
10829,3020,34
9154,198,71
5097,2072,0
6444,5100,45
10730,4552,125
257,1176,0
5833,911,67
1479,3154,86
257,1436,39
3092,5275,62
8610,5124,39
2286,4766,126
6977,2913,2
7199,108,118
6457,4047,36
959,739,109
6563,4247,118
10532,1706,126
347,1058,5
11432,1636,20
9064,5797,75
10615,1085,57
6854,3368,103
4637,906,48
253,232,91
7993,38,126
1161,431,58
12283,2477,107
507,1315,84
4066,304,20
10304,357,51
5476,110,14
10829,3437,57
10014,986,94
7245,37,12
4721,4197,43
6926,780,39
8893,812,54
2793,1946,0
9397,3842,62
10259,2613,118
7248,2188,22
2140,4663,80
5084,755,48
3572,78,112
2981,1982,62
11541,3173,106
11741,2185,57
1226,609,119
12227,3893,35
6967,2591,116
347,1757,18
247,160,22
6097,511,2
1130,1900,14
6926,1727,1
6457,666,25
5084,2020,14
768,1757,54
7993,2432,5
8448,3040,48
10060,483,62
2981,1359,50
6721,5069,71
4637,300,48
369,953,82
11022,3490,15
1925,1330,13
507,894,13
5377,945,16
8,68,1
10829,5519,114
4108,820,62
11562,2765,19
4410,74,56
3442,694,13
8610,401,18
369,374,82
11741,5298,41
2140,1024,3
4066,124,112
11920,5436,75
5877,1478,8
3442,42,22
