"""O""",Pure pleasure,7391860
"""Weird Al"" Yankovic",Angry White Boy Polka,3153624
"""Weird Al"" Yankovic","Ebay (Parody of ""I Want It That Way"" by the Backstreet Boys)",6828180
"""Weird Al"" Yankovic",Genius In France,12881580
"""Weird Al"" Yankovic","Ode To A Superhero (Parody of ""Piano Man"" by Billy Joel)",3153632
"""Weird Al"" Yankovic",Party At The Leper Colony,3153621
"""Weird Al"" Yankovic","Trash Day (Parody of ""Hot In Herre"" by Nelly)",3153619
"""Weird Al"" Yankovic",Wanna B Ur Lovr,3154088
'Til Tuesday,Coming Up Close,7502979
'Til Tuesday,Crash And Burn,3143002
'Til Tuesday,J For Jules,3156183
'Til Tuesday,Love In A Vacuum,7502972
'Til Tuesday,Sleep,13177294
'Til Tuesday,The Other End (Of The Telescope),3138250
'Til Tuesday,Voices Carry,7502973
(Hed) Planet Earth,Blackout,7734851
(Hed) Planet Earth,Bury Me,11269739
(Hed) Planet Earth,Carnivale,19402810
(Hed) Planet Earth,Crazy Life,13152189
(Hed) Planet Earth,Fallen,3111055
(Hed) Planet Earth,Flesh and Bone,161871
(Hed) Planet Earth,Other Side,312934
(Hed) Planet Earth,Revelations,14663194
(Hed) Planet Earth,Suck It Up,15894999
(We Are) Performance,Live a Little,8502198
(We Are) Performance,Lost Youth,11962288
(hed) p.e.,Higher Ground (feat. Kottonmouth Kings),7029317
.38 Special,Back To Paradise,498030
.38 Special,Back Where You Belong,498026
.38 Special,Caught Up In You,6632506
.38 Special,Fantasy Girl,498018
.38 Special,If I'd Been The One,498025
.38 Special,Like No Other Night,498029
.38 Special,Rebel To Rebel,239013
.38 Special,Rockin' Into The Night,498015
.38 Special,Rough Housin',498022
.38 Special,Second Chance,498031
.38 Special,Somebody Like You,498028
.38 Special,The Sound Of Your Voice,239009
.38 Special,Wild-Eyed Southern Boys,498017
1 Giant Leap,Braided Hair,13540426
1 Giant Leap,The Way You Dream,624221
1 Mile North,August 8:15,2848743
1 Mile North,In 1983 He Loved To Fly,2848736
1 Mile North,Return To From Where We Came,2848739
10 Years,Wasteland,721002
1000 Clowns,Rainy Days,1899448
101 Strings Orchestra,Dark Eyes,18922456
10cc,4% of Something,6260353
10cc,Dreadlock Holiday,386898
10cc,How Dare You,290002
10cc,I Wanna Rule The World,290004
10cc,I'm Not In Love,19400123
10cc,Rubber Bullets,386887
10cc,Silly Love,386890
10cc,The Things We Do For Love,386896
10cc,The Wall Street Shuffle,386889
10cc,The Worst Band In the World,6260576
10cc,Une Nuit A Paris (Part 1) / The Same Night In Paris (Part 2) / Later The Same Night In Paris (Part 3),386892
112,All My Love,182522
112,Damn (Album Version (Edited)),580447
112,Dance With Me Remix,200693
112,Everyday,2338460
112,God Knows (Album Version (Edited)),580459
112,Hot & Wet,3780103
112,Hot & Wet (Remix),3780103
112,If I Hit,6167767
112,Knock U Down (Interlude),3780112
112,Last To Know,580449
112,Na Na Na Na,3860768
112,Nowhere (Album Version (Edited)),580448
112,Only You-Bad Boy Remix,182498
112,Peaches & Cream,1431218
112,Say Yes,3780119
112,Slip Away,3780118
112,U Already Know (Remix),720913
112,Unbelievable,3780106
112,What If,580445
112,What The Hell Do You Want,580458
112,Why Can't We Get Along,720929
112,You Said,3780111
12 Step Rebels,Skinwalkers,3328221
12 Stones,3 Leaf Loser,7267978
12 Stones,Back Up,7267837
12 Stones,Bitter,14841850
12 Stones,Broken,2234782*
12 Stones,Crash,7267807
12 Stones,Eric's Song,7267866
12 Stones,Fade Away,7267833
12 Stones,Far Away,7267951
12 Stones,Home,7113544*
12 Stones,In Closing,7267989
12 Stones,In My Head,7267846
12 Stones,Let Go,3792764*
12 Stones,Lifeless,7267964
12 Stones,My Life,10598612
12 Stones,Open Your Eyes,7267823
12 Stones,Photograph,6807208
12 Stones,Photograph (Album Version),6807208
12 Stones,Running Out Of Pain,7267854
12 Stones,Shadows,166512
12 Stones,Soulfire,7267841
12 Stones,Speak Your Mind,7267957
12 Stones,Stay,2395238
12 Stones,The Last Song,7267945
12 Stones,The Way I Feel,7267817
12 Stones,The Way I Feel (Not Our Master),7267817
12 Stones,Waiting For Yesterday,7267987
1200 Micrograms,Hashish,7885200
1200 Micrograms,LSD,8621478
1200 Micrograms,LSD (Atomic Pulse Remix),7885200
1200 Micrograms,Mescaline,8621473
1200 Techniques,Eye Of The Storm,3462959
1200 Techniques,Fork In The Road (Bsyde Remix),2745693
1200 Techniques,Hot Syrup,2922176
1200 Techniques,Karma,2972804
1200 Techniques,Knock Knock (Feat. Koolism),2922172
